T_model,func_rho,func_cp,func_k
-4.000000000000000000e+01,1.067715903870585862e+03,2.405028028822692704e+03,1.066299422497660965e+00
-3.993493493493493673e+01,1.067714735157048835e+03,2.406538516217819506e+03,1.066449389043953699e+00
-3.986986986986986636e+01,1.067713596908502495e+03,2.408056404700470466e+03,1.066598473996767993e+00
-3.980480480480480310e+01,1.067712489275678081e+03,2.409581742701544954e+03,1.066746676564799268e+00
-3.973973973973973983e+01,1.067711412410295907e+03,2.411114579048736687e+03,1.066893995942949314e+00
-3.967467467467467657e+01,1.067710366465080824e+03,2.412654962970449560e+03,1.067040431312217708e+00
-3.960960960960960620e+01,1.067709351593761767e+03,2.414202944099743490e+03,1.067185981839589903e+00
-3.954454454454454293e+01,1.067708367951087666e+03,2.415758572478339374e+03,1.067330646677928652e+00
-3.947947947947947966e+01,1.067707415692831773e+03,2.417321898560657246e+03,1.067474424965861646e+00
-3.941441441441441640e+01,1.067706494975800297e+03,2.418892973217909457e+03,1.067617315827665392e+00
-3.934934934934934603e+01,1.067705605957841499e+03,2.420471847742239788e+03,1.067759318373154187e+00
-3.928428428428428276e+01,1.067704748797857519e+03,2.422058573850911671e+03,1.067900431697561325e+00
-3.921921921921921950e+01,1.067703923655806875e+03,2.423653203690537339e+03,1.068040654881428297e+00
-3.915415415415415623e+01,1.067703130692719014e+03,2.425255789841371552e+03,1.068179986990478669e+00
-3.908908908908908586e+01,1.067702370070699544e+03,2.426866385321633061e+03,1.068318427075505284e+00
-3.902402402402402259e+01,1.067701641952942509e+03,2.428485043591907925e+03,1.068455974172247247e+00
-3.895895895895895933e+01,1.067700946503735622e+03,2.430111818559562380e+03,1.068592627301270248e+00
-3.889389389389389606e+01,1.067700283888472313e+03,2.431746764583257118e+03,1.068728385467840436e+00
-3.882882882882882569e+01,1.067699654273660826e+03,2.433389936477464289e+03,1.068863247661806515e+00
-3.876376376376376243e+01,1.067699057826933540e+03,2.435041389517082280e+03,1.068997212857469625e+00
-3.869869869869869916e+01,1.067698494717054245e+03,2.436701179442066859e+03,1.069130280013457224e+00
-3.863363363363363590e+01,1.067697965113930422e+03,2.438369362462146000e+03,1.069262448072596072e+00
-3.856856856856856552e+01,1.067697469188622790e+03,2.440045995261576991e+03,1.069393715961787450e+00
-3.850350350350350226e+01,1.067697007113353493e+03,2.441731135003959480e+03,1.069524082591871261e+00
