epoch,err_value
1,0.3194
2,0.3193
3,0.3192
4,0.3192
5,0.3191
6,0.3191
7,0.3191
8,0.3191
9,0.319
10,0.319
11,0.319
12,0.319
13,0.319
14,0.319
15,0.319
16,0.319
17,0.319
18,0.319
19,0.319
20,0.319
21,0.319
22,0.319
23,0.319
24,0.319
25,0.319
26,0.319
27,0.319
28,0.3191
29,0.3191
30,0.3191
31,0.3191
32,0.3191
33,0.3191
34,0.3191
35,0.3191
36,0.3191
37,0.3191
38,0.3191
39,0.3191
40,0.3191
41,0.3191
42,0.3191
43,0.3191
44,0.3191
45,0.3191
46,0.3191
47,0.3191
48,0.3191
49,0.3191
50,0.3191
51,0.3191
52,0.3191
53,0.3191
54,0.3191
55,0.3191
56,0.3191
57,0.3191
58,0.3191
59,0.3191
60,0.3191
61,0.3191
62,0.3191
63,0.3191
64,0.3191
65,0.3191
66,0.319
67,0.319
68,0.319
69,0.319
70,0.319
71,0.319
72,0.319
73,0.319
74,0.319
75,0.319
76,0.319
77,0.319
78,0.319
79,0.319
80,0.319
81,0.319
82,0.319
83,0.319
84,0.3189
85,0.3189
86,0.3189
87,0.3189
88,0.3189
89,0.3189
90,0.3189
91,0.3189
92,0.3189
93,0.3189
94,0.3189
95,0.3189
96,0.3189
97,0.3189
98,0.3189
99,0.3189
100,0.3189
101,0.3189
102,0.3188
103,0.3188
104,0.3188
105,0.3188
106,0.3188
107,0.3188
108,0.3188
109,0.3188
110,0.3188
111,0.3188
112,0.3188
113,0.3188
114,0.3188
115,0.3188
116,0.3188
117,0.3188
118,0.3188
119,0.3187
120,0.3187
121,0.3187
122,0.3187
123,0.3187
124,0.3187
125,0.3187
126,0.3187
127,0.3187
128,0.3187
129,0.3187
130,0.3187
131,0.3187
132,0.3187
133,0.3187
134,0.3186
135,0.3186
136,0.3186
137,0.3186
138,0.3186
139,0.3186
140,0.3186
141,0.3186
142,0.3186
143,0.3186
144,0.3186
145,0.3186
146,0.3186
147,0.3186
148,0.3186
149,0.3185
150,0.3185
151,0.3185
152,0.3185
153,0.3185
154,0.3185
155,0.3185
156,0.3185
157,0.3185
158,0.3185
159,0.3185
160,0.3185
161,0.3185
162,0.3184
